id,name,origin_country,group,size,temperament,life_expectancy,weight_kg_min,weight_kg_max,height_cm_min,height_cm_max,description,popularity_rank
golden-retriever,Golden Retriever,United Kingdom,Sporting,Large,Friendly|Reliable|Trustworthy,10-12 years,25,34,51,61,"The Golden Retriever is a sturdy, medium-large gundog known for its dense, lustrous coat of gold that gives the breed its name.",3
german-shepherd,German Shepherd,Germany,Herding,Large,Confident|Courageous|Smart,7-10 years,22,40,55,65,"The German Shepherd is a large, agile, muscular dog of noble character and high intelligence, capable of learning commands for many tasks.",2
labrador-retriever,Labrador Retriever,Canada,Sporting,Large,Friendly|Active|Outgoing,10-12 years,25,36,55,62,"The Labrador Retriever is a strongly built, medium-sized, short-coupled dog that is athletic and well-balanced. It is the most popular breed in many countries.",1
poodle,Poodle,France,Non-Sporting,Medium,Intelligent|Active|Alert,10-18 years,18,32,45,60,The Poodle is an exceptionally smart and active dog available in three size varieties. It is known for its curly hypoallergenic coat and elegant appearance.,5
bulldog,Bulldog,United Kingdom,Non-Sporting,Medium,Friendly|Courageous|Calm,8-10 years,18,25,31,40,"The Bulldog is a medium-sized breed with a thick-set, low-slung body and massive short-faced head. Known for its loose-jointed, shuffling gait and gentle disposition.",6
beagle,Beagle,United Kingdom,Hound,Small,Merry|Friendly|Curious,10-15 years,9,11,33,41,"The Beagle is a small scent hound originally bred for hunting hare. It is a popular pet due to its size, good temper, and lack of inherited health problems.",7
rottweiler,Rottweiler,Germany,Working,Large,Loyal|Confident|Courageous,9-10 years,36,60,56,69,The Rottweiler is a robust working breed of great strength descended from the mastiffs of the Roman legions. A gentle playmate and protector within the family.,8
dachshund,Dachshund,Germany,Hound,Small,Clever|Stubborn|Devoted,12-16 years,7,15,20,23,"The Dachshund is a short-legged, long-bodied hound-type dog breed originally bred to scent, chase, and flush out badgers and other burrow-dwelling animals.",10
shiba-inu,Shiba Inu,Japan,Non-Sporting,Small,Alert|Active|Attentive,13-16 years,8,11,34,41,"The Shiba Inu is the smallest of the six original Japanese spitz breeds. An ancient breed with a bold, spirited personality and fox-like appearance.",44
akita,Akita,Japan,Working,Large,Courageous|Dignified|Loyal,10-13 years,32,59,61,71,"The Akita is a large, powerful, and alert breed with a noble and intimidating presence. Originally used for guarding royalty and nobility in feudal Japan.",47
chow-chow,Chow Chow,China,Non-Sporting,Medium,Dignified|Bright|Serious,8-12 years,20,32,43,51,"The Chow Chow is a powerful, compactly built dog with a lion-like mane and distinctive blue-black tongue. One of the world's oldest dog breeds.",75
shar-pei,Shar Pei,China,Non-Sporting,Medium,Loyal|Independent|Calm,8-12 years,18,25,46,51,The Shar Pei is an ancient Chinese breed known for its deep wrinkles and blue-black tongue. Originally bred as a guard dog and fighter.,64
pekingese,Pekingese,China,Toy,Small,Affectionate|Loyal|Regal,12-14 years,3,6,15,23,The Pekingese is a compact toy companion of regal bearing and a distinctive rolling gait. Bred for centuries to be the cherished companions of Chinese emperors.,92
shih-tzu,Shih Tzu,China,Toy,Small,Affectionate|Playful|Outgoing,10-18 years,4,7,20,28,"The Shih Tzu is a lively, charming toy dog with a long flowing double coat. Bred solely to be a companion, this breed has been a lap dog since ancient times.",20
lhasa-apso,Lhasa Apso,Tibet,Non-Sporting,Small,Confident|Smart|Comical,12-15 years,5,8,25,28,"The Lhasa Apso is a thousand-year-old breed that served as sentinel dogs at palaces and monasteries in the Himalayas. Hardy, confident, and surprisingly tough.",71
tibetan-mastiff,Tibetan Mastiff,Tibet,Working,Giant,Independent|Reserved|Protective,10-12 years,34,73,61,76,"The Tibetan Mastiff is a massive, imposing guardian breed with a thick double coat and a lion-like mane. An ancient breed used to protect flocks and homes in Tibet.",131
basenji,Basenji,Democratic Republic of the Congo,Hound,Small,Independent|Smart|Poised,13-14 years,9,11,40,43,"The Basenji is a small, graceful hound from Africa known as the barkless dog. It produces an unusual yodel-like sound due to its unusually shaped larynx.",87
rhodesian-ridgeback,Rhodesian Ridgeback,Zimbabwe,Hound,Large,Dignified|Affectionate|Even-Tempered,10-12 years,32,41,61,69,"The Rhodesian Ridgeback is a large, muscular hound known for the distinctive ridge of hair running along its back. Originally bred to hunt lions in Africa.",41
saluki,Saluki,Iran,Hound,Large,Gentle|Dignified|Independent,10-17 years,18,27,58,71,"The Saluki is one of the oldest known breeds, prized for its grace, speed, and endurance. Used for thousands of years by Arab nomads to hunt gazelles.",120
afghan-hound,Afghan Hound,Afghanistan,Hound,Large,Dignified|Aloof|Happy,12-18 years,23,27,63,69,"The Afghan Hound is an elegant, aristocratic sighthound with a long, silky coat. An ancient breed from the mountains of Afghanistan, known for its independent nature.",113
borzoi,Borzoi,Russia,Hound,Large,Affectionate|Loyal|Regally Dignified,9-14 years,27,48,66,79,"The Borzoi is a graceful, tall Russian sighthound originally bred by the aristocracy for wolf hunting. Known for its elegant, silky coat and calm demeanor.",103
samoyed,Samoyed,Russia,Working,Medium,Adaptable|Friendly|Gentle,12-14 years,16,30,48,60,The Samoyed is a fluffy white spitz breed with a perpetual smile. Bred by the Samoyede people of Siberia for herding reindeer and pulling sleds.,59
siberian-husky,Siberian Husky,Russia,Working,Medium,Loyal|Mischievous|Outgoing,12-14 years,16,27,51,60,The Siberian Husky is a medium-sized working sled dog bred by the Chukchi people of northeastern Asia. Known for striking blue or multi-colored eyes.,14
alaskan-malamute,Alaskan Malamute,United States,Working,Large,Affectionate|Loyal|Playful,10-14 years,34,39,58,64,The Alaskan Malamute is a powerful freight-hauling sled dog bred by the Mahlemut Inuit people. One of the oldest Arctic sled dogs.,58
australian-shepherd,Australian Shepherd,United States,Herding,Medium,Smart|Work-Oriented|Exuberant,12-15 years,18,29,46,58,"The Australian Shepherd is a lean, tough ranch dog despite its name developed in the western United States. Known for its striking merle coat and bright eyes.",12
border-collie,Border Collie,United Kingdom,Herding,Medium,Affectionate|Smart|Energetic,12-15 years,14,20,46,56,The Border Collie is widely regarded as the most intelligent dog breed. A workaholic herding dog from the Anglo-Scottish border region.,31
cavalier-king-charles-spaniel,Cavalier King Charles Spaniel,United Kingdom,Toy,Small,Affectionate|Gentle|Graceful,12-15 years,5,8,30,33,"The Cavalier King Charles Spaniel is a gentle, affectionate toy spaniel with a silky coat. Named after King Charles II who was devoted to the breed.",15
cocker-spaniel,Cocker Spaniel,United Kingdom,Sporting,Medium,Gentle|Smart|Happy,10-14 years,12,16,36,43,"The Cocker Spaniel is a merry, well-balanced sporting dog with long, lush ears and a wagging tail. Originally bred as a hunting dog for woodcock.",29
dalmatian,Dalmatian,Croatia,Non-Sporting,Large,Dignified|Smart|Outgoing,11-13 years,20,32,48,61,"The Dalmatian is a graceful, medium-large breed known for its unique spotted coat. Historically used as a carriage dog and firehouse mascot.",56
doberman-pinscher,Doberman Pinscher,Germany,Working,Large,Loyal|Fearless|Alert,10-12 years,27,45,61,72,"The Doberman Pinscher is a sleek, powerful, fearless, and fast dog. Developed by Karl Friedrich Louis Dobermann as a personal protection dog in Germany.",16
great-dane,Great Dane,Germany,Working,Giant,Friendly|Patient|Dependable,7-10 years,45,90,71,86,"The Great Dane is one of the tallest dog breeds in the world. Despite its imposing size, it is known as a gentle giant with a friendly, patient nature.",17
irish-setter,Irish Setter,Ireland,Sporting,Large,Active|Outgoing|Sweet-Natured,12-15 years,27,32,58,67,The Irish Setter is a high-spirited gundog known for its stunning mahogany or chestnut red coat. A rollicking companion with a sweet and trainable nature.,77
italian-greyhound,Italian Greyhound,Italy,Toy,Small,Playful|Alert|Sensitive,14-15 years,3,5,33,38,"The Italian Greyhound is a slender, graceful toy breed that is a miniature version of the Greyhound. Prized as a companion for over two millennia.",73
jack-russell-terrier,Jack Russell Terrier,United Kingdom,Terrier,Small,Alert|Inquisitive|Lively,12-14 years,6,8,25,30,"The Jack Russell Terrier is a small, energetic breed that was developed for fox hunting. Known for its fearless character and boundless energy.",69
maltese,Maltese,Malta,Toy,Small,Gentle|Playful|Charming,12-15 years,1,3,20,25,"The Maltese is a gentle, playful, and charming toy breed with a luxurious white silk coat. One of the most ancient toy breeds, dating back over 2000 years.",37
newfoundland,Newfoundland,Canada,Working,Giant,Sweet|Patient|Devoted,9-10 years,45,68,63,74,"The Newfoundland is a massive, powerful working dog with a sweet, patient disposition. Famous for its lifesaving instincts and exceptional swimming ability.",40
papillon,Papillon,France,Toy,Small,Friendly|Alert|Happy,14-16 years,2,5,20,28,"The Papillon is a small, elegant toy spaniel named for its butterfly-like ear fringes. Despite its dainty appearance, it is a hardy and athletic companion.",54
pomeranian,Pomeranian,Germany,Toy,Small,Inquisitive|Bold|Lively,12-16 years,1,3,18,24,"The Pomeranian is a cocky, animated companion with an extravagant coat. A spitz breed descended from large sled dogs, now miniaturized into a tiny package.",23
pug,Pug,China,Toy,Small,Charming|Mischievous|Loving,13-15 years,6,8,25,33,"The Pug is a beloved toy companion with a wrinkly, short-muzzled face and curled tail. An ancient breed from China cherished as a companion of Chinese emperors.",28
saint-bernard,Saint Bernard,Switzerland,Working,Giant,Playful|Charming|Inquisitive,8-10 years,54,82,65,90,"The Saint Bernard is a giant, powerful alpine rescue dog famous for saving travelers in the Swiss Alps. Known for its gentle, watchful temperament.",48
standard-schnauzer,Standard Schnauzer,Germany,Working,Medium,Fearless|Smart|Spirited,13-16 years,14,20,44,50,"The Standard Schnauzer is a robust, squarely built, medium-sized dog with a wiry coat and distinctive beard and eyebrows. An excellent watchdog and companion.",90
scottish-terrier,Scottish Terrier,United Kingdom,Terrier,Small,Confident|Independent|Spirited,12 years,8,10,25,28,"The Scottish Terrier is a small, compact, sturdy terrier with a distinctive profile and wiry coat. Known for its dignified, independent, and sometimes stubborn nature.",57
weimaraner,Weimaraner,Germany,Sporting,Large,Friendly|Fearless|Obedient,10-13 years,25,40,58,69,"The Weimaraner is a graceful, athletic gundog with a distinctive silver-gray coat. Originally bred for big-game hunting by German nobility.",36
whippet,Whippet,United Kingdom,Hound,Medium,Affectionate|Playful|Calm,12-15 years,11,21,44,51,The Whippet is a medium-sized sighthound that is the fastest domesticated animal of its weight. Known as the poor man's racehorse in Victorian England.,61
yorkshire-terrier,Yorkshire Terrier,United Kingdom,Toy,Small,Affectionate|Sprightly|Tomboyish,11-15 years,2,3,18,23,"The Yorkshire Terrier is a small toy terrier with a gorgeous silky coat. Despite its glamorous appearance, it is a true terrier at heart: feisty and brave.",13
french-bulldog,French Bulldog,France,Non-Sporting,Small,Adaptable|Playful|Smart,10-12 years,8,13,28,33,"The French Bulldog is a charming, adaptable companion with distinctive bat ears. One of the most popular small-dog breeds in the world.",4
boxer,Boxer,Germany,Working,Large,Bright|Fun-Loving|Active,10-12 years,25,32,53,63,"The Boxer is a medium to large short-haired breed developed in Germany. Playful, patient, and protective, making it an ideal family dog.",11
great-pyrenees,Great Pyrenees,France,Working,Giant,Smart|Patient|Calm,10-12 years,36,54,63,81,"The Great Pyrenees is a majestic, immensely powerful livestock guardian with a beautiful white weatherproof coat. An ancient breed from the Pyrenees Mountains.",66
bernese-mountain-dog,Bernese Mountain Dog,Switzerland,Working,Large,Good-Natured|Calm|Strong,7-10 years,36,52,58,70,"The Bernese Mountain Dog is a large, sturdy worker from the Swiss Alps with a striking tricolor coat. Known for being gentle, affectionate, and eager to please.",22
portuguese-water-dog,Portuguese Water Dog,Portugal,Working,Medium,Affectionate|Adventurous|Athletic,11-13 years,16,27,43,57,"The Portuguese Water Dog is an athletic, loyal swimmer with a waterproof curly or wavy coat. Bred to assist Portuguese fishermen by herding fish and retrieving gear.",50
vizsla,Vizsla,Hungary,Sporting,Medium,Affectionate|Energetic|Gentle,12-14 years,20,29,53,64,"The Vizsla is a versatile, red-coated Hungarian hunting dog. Nicknamed the Velcro dog for its desire to be close to its owner at all times.",33
belgian-malinois,Belgian Malinois,Belgium,Herding,Large,Confident|Smart|Hardworking,14-16 years,20,34,56,66,"The Belgian Malinois is a confident, smart herding dog favored for police and military work worldwide. Intensely loyal and driven.",32
australian-cattle-dog,Australian Cattle Dog,Australia,Herding,Medium,Alert|Curious|Pleasant,12-16 years,15,22,43,51,"The Australian Cattle Dog is a sturdy, compact herding dog developed in Australia for droving cattle over long distances. Also known as the Blue Heeler.",55
havanese,Havanese,Cuba,Toy,Small,Intelligent|Outgoing|Funny,14-16 years,3,6,22,29,"The Havanese is the national dog of Cuba and its only native breed. A cheerful little dog with a spring in its step and a silky, flowing coat.",24
brittany,Brittany,France,Sporting,Medium,Bright|Fun-Loving|Upbeat,12-14 years,14,18,44,52,The Brittany is a versatile gundog that combines the best qualities of a pointer and a retriever. Originally from the Brittany province of France.,26
english-springer-spaniel,English Springer Spaniel,United Kingdom,Sporting,Medium,Friendly|Playful|Obedient,12-14 years,18,25,46,51,"The English Springer Spaniel is a bird dog of great energy, stamina, and brains. Its compact body and long ears make it a tireless, loyal sporting companion.",27
shetland-sheepdog,Shetland Sheepdog,United Kingdom,Herding,Small,Playful|Energetic|Bright,12-14 years,6,12,33,41,"The Shetland Sheepdog is a small, agile herding dog from Scotland's Shetland Islands. Resembles a miniature Collie and is exceptionally intelligent and willing to please.",25
miniature-schnauzer,Miniature Schnauzer,Germany,Terrier,Small,Friendly|Smart|Obedient,12-15 years,5,9,30,36,"The Miniature Schnauzer is a robust, sturdily built terrier with a distinctive beard and eyebrows. The most popular of the three Schnauzer breeds.",19
cane-corso,Cane Corso,Italy,Working,Large,Affectionate|Intelligent|Majestic,9-12 years,40,50,58,70,The Cane Corso is a large Italian molosser known for its imposing appearance and protective nature. A descendant of the Roman war dogs of antiquity.,21
miniature-pinscher,Miniature Pinscher,Germany,Toy,Small,Fearless|Fun-Loving|Proud,12-16 years,4,5,25,32,"The Miniature Pinscher is a compact, elegant toy breed known as the King of Toys. Despite resembling a small Doberman, it is a much older breed.",72
chinese-crested,Chinese Crested,China,Toy,Small,Affectionate|Alert|Lively,13-18 years,2,5,23,33,"The Chinese Crested comes in two varieties: hairless and powderpuff. A playful, loving companion that bonds intensely with its owner.",79
xoloitzcuintli,Xoloitzcuintli,Mexico,Non-Sporting,Medium,Loyal|Alert|Calm,13-18 years,4,25,25,60,The Xoloitzcuintli is an ancient Aztec dog breed that comes in hairless and coated varieties. Considered sacred by the Aztecs for over 3000 years.,140
chihuahua,Chihuahua,Mexico,Toy,Small,Charming|Graceful|Sassy,14-16 years,1,3,15,23,"The Chihuahua is the smallest recognized dog breed, named after the Mexican state. A national symbol of Mexico with a saucy, confident personality.",34
pharaoh-hound,Pharaoh Hound,Malta,Hound,Medium,Friendly|Smart|Noble,12-14 years,18,27,53,63,"The Pharaoh Hound is an elegant, powerful sighthound and the national dog of Malta. One of the few dogs that visibly blushes when excited.",168
ibizan-hound,Ibizan Hound,Spain,Hound,Large,Family-Oriented|Even-Tempered|Polite,11-14 years,20,29,56,69,"The Ibizan Hound is a lean, agile sighthound from the Balearic Islands of Spain. Known for its deer-like elegance and exceptional jumping ability.",152
canaan-dog,Canaan Dog,Israel,Herding,Medium,Confident|Alert|Vigilant,12-15 years,18,25,48,61,"The Canaan Dog is the national dog of Israel, a primitive pariah dog that has survived in the desert for thousands of years. Alert and territorial.",179
thai-ridgeback,Thai Ridgeback,Thailand,Foundation Stock Service,Medium,Loyal|Independent|Intelligent,12-13 years,16,34,51,61,The Thai Ridgeback is a primitive breed from Thailand with a distinctive ridge of hair along its back. An ancient breed used for hunting and guarding.,
korean-jindo,Korean Jindo,South Korea,Foundation Stock Service,Medium,Bold|Faithful|Intelligent,14-15 years,15,23,46,55,"The Korean Jindo is a spitz-type hunting dog from Jindo Island, South Korea. Designated as a national treasure of Korea for its unwavering loyalty.",
taiwan-dog,Taiwan Dog,Taiwan,Foundation Stock Service,Medium,Loyal|Bold|Alert,12-16 years,12,18,43,52,"The Taiwan Dog is a small to medium breed native to Taiwan, descended from ancient South Asian hunting dogs. A highly loyal and versatile companion.",
azawakh,Azawakh,Mali,Hound,Large,Loyal|Independent|Deeply Affectionate,12-15 years,15,25,60,74,"The Azawakh is a West African sighthound from the Sahel region. Lean and elegant, it was bred by Tuareg nomads as a guard and hunting dog.",193
sloughi,Sloughi,Morocco,Hound,Large,Graceful|Noble|Reserved,10-15 years,18,28,61,72,The Sloughi is a North African sighthound also known as the Arabian Greyhound. A rare and ancient breed valued for its speed and hunting prowess.,190
cirneco-dell-etna,Cirneco dell'Etna,Italy,Hound,Medium,Affectionate|Friendly|Independent,12-14 years,8,12,42,50,"The Cirneco dell'Etna is a small, sleek coursing hound from Sicily. An ancient breed that has hunted on the slopes of Mount Etna for thousands of years.",183
finnish-spitz,Finnish Spitz,Finland,Non-Sporting,Medium,Friendly|Good-Natured|Lively,13-15 years,9,13,39,50,"The Finnish Spitz is the national dog of Finland, a lively fox-like breed originally used for hunting birds and small game by barking to alert the hunter.",184
finnish-lapphund,Finnish Lapphund,Finland,Herding,Medium,Friendly|Alert|Agile,12-15 years,15,24,41,52,"The Finnish Lapphund is a hardy, easy-going herding dog from the Arctic regions of Scandinavia. Originally bred to herd reindeer by the Sami people.",160
norwegian-elkhound,Norwegian Elkhound,Norway,Hound,Medium,Friendly|Confident|Dependable,12-15 years,20,23,47,52,"The Norwegian Elkhound is a bold, hardy spitz breed that has served as a hunter, guardian, and herder for Vikings for thousands of years.",97
norwegian-lundehund,Norwegian Lundehund,Norway,Non-Sporting,Small,Loyal|Energetic|Alert,12-15 years,6,9,31,38,The Norwegian Lundehund is a unique spitz breed with six toes on each foot and extraordinary flexibility. Originally bred to hunt puffins on Norwegian cliffs.,191
swedish-vallhund,Swedish Vallhund,Sweden,Herding,Small,Friendly|Energetic|Watchful,12-15 years,9,14,30,34,"The Swedish Vallhund is a sturdy, low-to-the-ground Viking dog that has been herding cattle for over a thousand years in Sweden.",169
icelandic-sheepdog,Icelandic Sheepdog,Iceland,Herding,Medium,Cheerful|Friendly|Inquisitive,12-14 years,9,14,42,46,"The Icelandic Sheepdog is Iceland's only native breed, brought by the Vikings. A cheerful, friendly spitz that excels at herding sheep in rugged terrain.",155
lagotto-romagnolo,Lagotto Romagnolo,Italy,Sporting,Medium,Affectionate|Keen|Undemanding,15-17 years,11,16,41,48,"The Lagotto Romagnolo is an Italian water dog now famous as the world's foremost truffle-hunting breed. Has a curly, waterproof coat.",99
spinone-italiano,Spinone Italiano,Italy,Sporting,Large,Sociable|Docile|Patient,10-12 years,29,39,56,70,"The Spinone Italiano is one of Italy's oldest pointing breeds, a muscular all-purpose hunting dog known for its wiry coat and gentle, sociable nature.",109
bracco-italiano,Bracco Italiano,Italy,Sporting,Large,Affectionate|Intelligent|Energetic,10-14 years,25,40,55,67,"The Bracco Italiano is one of the oldest European pointing breeds, prized for its powerful nose and distinctive trot. A gentle and devoted companion.",197
german-shorthaired-pointer,German Shorthaired Pointer,Germany,Sporting,Large,Friendly|Smart|Willing to Please,10-12 years,20,32,53,64,"The German Shorthaired Pointer is a versatile hunter and all-purpose gun dog. An enthusiastic, bold, and instinctively cooperative sporting breed.",9
german-wirehaired-pointer,German Wirehaired Pointer,Germany,Sporting,Large,Affectionate|Eager|Enthusiastic,14-16 years,27,32,56,67,"The German Wirehaired Pointer is a sturdy, well-muscled gundog with a distinctive wiry coat that protects it from rough cover, water, and weather.",63
hungarian-wirehaired-vizsla,Wirehaired Vizsla,Hungary,Sporting,Medium,Gentle|Loyal|Trainable,12-14 years,20,29,54,64,The Wirehaired Vizsla is a versatile Hungarian hunting dog with a dense wiry coat that offers more protection than its smooth-coated cousin.,81
weimaraner,Weimaraner,Germany,Sporting,Large,Friendly|Fearless|Obedient,10-13 years,25,40,58,69,"The Weimaraner is a graceful, athletic gundog with a distinctive silver-gray coat. Originally bred for big-game hunting by German nobility.",36
flat-coated-retriever,Flat-Coated Retriever,United Kingdom,Sporting,Large,Cheerful|Optimistic|Good-Humored,8-10 years,25,36,56,62,"The Flat-Coated Retriever is a happy, optimistic gundog with a distinctive sleek black or liver coat. Known as the Peter Pan of the dog world for its puppy-like attitude.",96
chesapeake-bay-retriever,Chesapeake Bay Retriever,United States,Sporting,Large,Affectionate|Bright|Sensitive,10-13 years,25,36,53,66,"The Chesapeake Bay Retriever is a powerful, intensely loyal American gundog bred to retrieve waterfowl in the frigid, rough waters of the Chesapeake Bay.",45
nova-scotia-duck-tolling-retriever,Nova Scotia Duck Tolling Retriever,Canada,Sporting,Medium,Intelligent|Outgoing|Affectionate,12-14 years,17,23,43,53,"The Nova Scotia Duck Tolling Retriever is the smallest of the retrievers. It lures waterfowl within gunshot range by playing along the shoreline, then retrieves them.",83
irish-wolfhound,Irish Wolfhound,Ireland,Hound,Giant,Courageous|Dignified|Calm,6-8 years,48,70,76,86,"The Irish Wolfhound is the tallest of all dog breeds. Originally bred to hunt wolves in Ireland, it is now a gentle giant known for its serene disposition.",76
scottish-deerhound,Scottish Deerhound,United Kingdom,Hound,Giant,Gentle|Dignified|Polite,8-11 years,34,50,71,81,"The Scottish Deerhound is a tall, majestic coursing hound bred to stalk the giant wild red deer of Scotland. Known as the Royal Dog of Scotland.",158
greyhound,Greyhound,United Kingdom,Hound,Large,Gentle|Independent|Noble,10-13 years,27,40,68,76,"The Greyhound is the fastest dog breed in the world, capable of reaching speeds up to 72 km/h. Despite its racing reputation, it is a gentle, calm companion.",145
bloodhound,Bloodhound,Belgium,Hound,Large,Friendly|Independent|Inquisitive,10-12 years,36,50,58,69,The Bloodhound is a large scent hound with the most powerful nose in the dog kingdom. Its trailing abilities are so precise that evidence it finds is admissible in court.,52
basset-hound,Basset Hound,France,Hound,Medium,Charming|Patient|Low-Key,12-13 years,20,29,28,38,"The Basset Hound is a short-legged scent hound with long ears and a melancholy expression. Despite its droopy appearance, it is a tenacious and determined tracker.",39
petit-basset-griffon-vendeen,Petit Basset Griffon Vendeen,France,Hound,Small,Alert|Happy|Vivacious,14-16 years,11,18,33,38,"The Petit Basset Griffon Vendeen is a small, rough-coated French scent hound bred to hunt rabbits in the Vendee region. Bold and vivacious.",142
bull-terrier,Bull Terrier,United Kingdom,Terrier,Medium,Playful|Charming|Mischievous,12-13 years,22,32,53,56,"The Bull Terrier is a muscular, big-boned terrier with a unique egg-shaped head. A playful, charming, and sometimes comical companion.",62
staffordshire-bull-terrier,Staffordshire Bull Terrier,United Kingdom,Terrier,Medium,Clever|Brave|Tenacious,12-14 years,11,17,36,41,"The Staffordshire Bull Terrier is a muscular, courageous breed known for its love of people, especially children. Nicknamed the nanny dog in the UK.",80
airedale-terrier,Airedale Terrier,United Kingdom,Terrier,Large,Friendly|Clever|Courageous,11-14 years,23,29,56,61,"The Airedale Terrier is the largest of all terrier breeds, known as the King of Terriers. A versatile breed used for hunting, war service, and police work.",60
west-highland-white-terrier,West Highland White Terrier,United Kingdom,Terrier,Small,Loyal|Happy|Entertaining,13-15 years,7,10,25,28,The West Highland White Terrier is a sturdy little dog with a distinctive white coat. Originally bred in Scotland to hunt rats and other underground prey.,42
cairn-terrier,Cairn Terrier,United Kingdom,Terrier,Small,Alert|Cheerful|Busy,13-15 years,6,8,23,33,"The Cairn Terrier is one of Scotland's earliest working dogs, bred to root out foxes from cairns. Made famous by Toto in The Wizard of Oz.",69
norwich-terrier,Norwich Terrier,United Kingdom,Terrier,Small,Affectionate|Alert|Curious,12-15 years,5,6,24,26,The Norwich Terrier is one of the smallest working terriers with prick ears that distinguish it from the drop-eared Norfolk Terrier.,107
norfolk-terrier,Norfolk Terrier,United Kingdom,Terrier,Small,Fearless|Alert|Fun-Loving,12-16 years,5,6,23,25,"The Norfolk Terrier is a small, portable, game terrier known for its drop ears. One of the smallest working terriers, with a fearless yet lovable disposition.",126
wire-fox-terrier,Wire Fox Terrier,United Kingdom,Terrier,Small,Alert|Confident|Gregarious,12-15 years,7,9,36,39,"The Wire Fox Terrier is a lively, quick terrier with a distinctive wiry coat. The most decorated breed at the Westminster Kennel Club Dog Show.",101
border-terrier,Border Terrier,United Kingdom,Terrier,Small,Affectionate|Happy|Plucky,12-15 years,5,7,28,40,"The Border Terrier is a tough, no-frills working terrier from the Anglo-Scottish border. Its otter-shaped head and wiry coat are distinctive features.",86
soft-coated-wheaten-terrier,Soft Coated Wheaten Terrier,Ireland,Terrier,Medium,Friendly|Happy|Deeply Devoted,12-14 years,14,20,43,48,"The Soft Coated Wheaten Terrier is a medium-sized, hardy Irish farm dog. Known for its silky, gently waving wheat-colored coat and exuberant greeting style.",53
kerry-blue-terrier,Kerry Blue Terrier,Ireland,Terrier,Medium,Smart|Alert|Adaptable,12-15 years,15,18,44,48,"The Kerry Blue Terrier is a versatile Irish breed with a distinctive blue-gray curly coat. Originally used for herding, guarding, and hunting on Irish farms.",129
irish-terrier,Irish Terrier,Ireland,Terrier,Medium,Bold|Dashing|Tenderhearted,13-15 years,11,12,46,48,"The Irish Terrier is a bold, dashing, courageous dog known as the daredevil of the terrier group. One of the oldest terrier breeds with a fiery red coat.",123
american-staffordshire-terrier,American Staffordshire Terrier,United States,Terrier,Medium,Confident|Smart|Good-Natured,12-16 years,25,35,43,48,"The American Staffordshire Terrier is a muscular, stocky, yet agile dog. Known for its courage and loyalty, it is a trustworthy family companion.",85
old-english-sheepdog,Old English Sheepdog,United Kingdom,Herding,Large,Adaptable|Gentle|Smart,10-12 years,27,45,53,61,"The Old English Sheepdog is a big, athletic dog with a shaggy coat that covers its entire body including the eyes. Known for its distinctive bear-like shuffle.",67
collie,Collie,United Kingdom,Herding,Large,Devoted|Graceful|Proud,12-14 years,22,34,51,61,The Collie is an elegant herding dog made famous by the character Lassie. A devoted family dog known for its intelligence and loyalty.,38
cardigan-welsh-corgi,Cardigan Welsh Corgi,United Kingdom,Herding,Small,Affectionate|Loyal|Smart,12-15 years,11,17,27,32,"The Cardigan Welsh Corgi is the older of the two Corgi breeds, distinguished by its long tail. A sturdy, versatile herding dog from Wales.",68
