id,name,origin_country,group,size,temperament,life_expectancy,weight_kg_min,weight_kg_max,height_cm_min,height_cm_max,description,popularity_rank
pembroke-welsh-corgi,Pembroke Welsh Corgi,United Kingdom,Herding,Small,Affectionate|Smart|Alert,12-13 years,10,14,25,30,"The Pembroke Welsh Corgi is the favorite breed of Queen Elizabeth II. A low-set, sturdy herding dog with a foxy face and affectionate personality.",11
bouvier-des-flandres,Bouvier des Flandres,Belgium,Herding,Large,Affectionate|Courageous|Strong-Willed,10-12 years,27,40,59,68,"The Bouvier des Flandres is a powerfully built Belgian herding dog with a rugged, weather-resistant coat. Originally used for farm work in Flanders.",84
briard,Briard,France,Herding,Large,Confident|Smart|Faithful,12 years,25,45,56,69,"The Briard is a large French herding dog with a long, flowing coat and distinctive beard. Known as a heart wrapped in fur for its loving nature.",132
beauceron,Beauceron,France,Herding,Large,Gentle|Faithful|Obedient,10-12 years,30,45,61,70,"The Beauceron is a large, athletic French herding breed with distinctive double dewclaws. A versatile working dog used by French military and police.",124
berger-picard,Berger Picard,France,Herding,Large,Loyal|Good-Natured|Observant,12-13 years,23,32,55,66,"The Berger Picard is a rare French herding breed with a shaggy, rustic appearance and erect ears. Nearly extinct after both World Wars.",144
komondor,Komondor,Hungary,Working,Giant,Loyal|Dignified|Brave,10-12 years,36,60,64,76,The Komondor is a large Hungarian livestock guardian with a distinctive white corded coat resembling dreadlocks. An imposing and powerful protector.,173
kuvasz,Kuvasz,Hungary,Working,Giant,Loyal|Courageous|Curious,10-12 years,32,52,66,76,The Kuvasz is a majestic Hungarian livestock guardian with a dense white coat. An ancient breed that once guarded the estates of Hungarian nobles.,163
puli,Puli,Hungary,Herding,Medium,Loyal|Obedient|Agile,10-15 years,10,15,36,45,"The Puli is a small-medium Hungarian herding breed famous for its tightly corded coat. An agile, smart, and dedicated working dog.",160
leonberger,Leonberger,Germany,Working,Giant,Friendly|Gentle|Playful,7 years,41,77,65,80,"The Leonberger is a giant breed created in the city of Leonberg, Germany, as a lion-like companion. A gentle, playful, and waterproof family dog.",95
greater-swiss-mountain-dog,Greater Swiss Mountain Dog,Switzerland,Working,Giant,Faithful|Dependable|Family-Oriented,8-11 years,45,63,60,72,"The Greater Swiss Mountain Dog is a large, muscular tricolor breed and the oldest of the four Swiss mountain dog breeds. A versatile draft and drover dog.",74
entlebucher-mountain-dog,Entlebucher Mountain Dog,Switzerland,Herding,Medium,Loyal|Smart|Enthusiastic,11-13 years,20,30,42,50,"The Entlebucher Mountain Dog is the smallest of the four Swiss mountain dog breeds. An energetic, loyal herding dog with a tricolor coat.",157
appenzeller-sennenhund,Appenzeller Sennenhund,Switzerland,Herding,Medium,Reliable|Fearless|Lively,12-15 years,22,32,47,58,The Appenzeller Sennenhund is a versatile Swiss mountain dog bred for herding cattle and general farm work. One of four Swiss mountain dog breeds.,
anatolian-shepherd-dog,Anatolian Shepherd Dog,Turkey,Working,Giant,Loyal|Independent|Reserved,11-13 years,40,68,69,74,"The Anatolian Shepherd Dog is an ancient Turkish livestock guardian with incredible endurance. Bred to protect flocks from wolves, bears, and jackals.",90
central-asian-shepherd-dog,Central Asian Shepherd Dog,Turkmenistan,Foundation Stock Service,Giant,Independent|Courageous|Confident,12-15 years,40,79,60,78,"The Central Asian Shepherd Dog is one of the oldest livestock guardian breeds, existing for over 5000 years. A powerful, independent protector.",
caucasian-shepherd-dog,Caucasian Shepherd Dog,Georgia,Foundation Stock Service,Giant,Bold|Fearless|Strong-Willed,10-12 years,45,100,64,75,"The Caucasian Shepherd Dog is a massive, powerful guardian breed from the Caucasus Mountains. Bred for centuries to protect livestock from predators.",
dogo-argentino,Dogo Argentino,Argentina,Working,Large,Friendly|Cheerful|Humble,9-15 years,35,45,60,68,"The Dogo Argentino is a large, white, muscular dog developed in Argentina for big-game hunting including wild boar and puma.",92
fila-brasileiro,Fila Brasileiro,Brazil,Foundation Stock Service,Giant,Loyal|Determined|Courageous,9-11 years,40,50,60,75,The Fila Brasileiro is a large Brazilian molosser known for its tracking ability and aggressive temperament toward strangers. Fiercely loyal to its family.,
peruvian-inca-orchid,Peruvian Inca Orchid,Peru,Miscellaneous,Medium,Affectionate|Loyal|Noble,12-14 years,4,25,25,65,"The Peruvian Inca Orchid is an ancient hairless breed from Peru, prized by the Inca civilization. Comes in three sizes, both hairless and coated varieties.",
chinese-shar-pei,Chinese Shar-Pei,China,Non-Sporting,Medium,Loyal|Independent|Calm,8-12 years,18,25,46,51,The Chinese Shar-Pei is an ancient breed known for deep wrinkles and blue-black tongue. Originally a village guard dog in southern China.,64
keeshond,Keeshond,Netherlands,Non-Sporting,Medium,Friendly|Lively|Outgoing,12-15 years,15,20,43,46,"The Keeshond is the national dog of the Netherlands, a sturdy spitz with a plush silver and black coat. Known for its spectacular markings around the eyes.",95
schipperke,Schipperke,Belgium,Non-Sporting,Small,Confident|Alert|Curious,12-14 years,3,9,25,33,"The Schipperke is a small, thickset Belgian breed that served as a watchdog and rat catcher on canal barges. Known for its distinctive black coat and foxy face.",105
bichon-frise,Bichon Frise,France,Non-Sporting,Small,Playful|Curious|Peppy,14-15 years,3,5,24,30,"The Bichon Frise is a cheerful, small dog with a powder-puff white coat. A charming, adaptable companion originally from the Mediterranean region.",46
lowchen,Lowchen,Germany,Non-Sporting,Small,Affectionate|Outgoing|Positive,13-15 years,4,8,30,36,"The Lowchen, or Little Lion Dog, is a rare breed traditionally given a lion-trim haircut. A playful and gentle companion that has been popular in Europe since the Renaissance.",170
coton-de-tulear,Coton de Tulear,Madagascar,Non-Sporting,Small,Charming|Bright|Happy-Go-Lucky,15-19 years,4,6,23,28,"The Coton de Tulear is the national dog of Madagascar, named for its cotton-like coat and the port city of Tulear. A charming, witty companion.",81
tibetan-spaniel,Tibetan Spaniel,Tibet,Non-Sporting,Small,Playful|Bright|Self-Confident,12-15 years,4,7,25,28,"The Tibetan Spaniel is a small, assertive breed that served as a watchdog in Tibetan monasteries. Despite its name, it is not a true spaniel.",119
tibetan-terrier,Tibetan Terrier,Tibet,Non-Sporting,Medium,Affectionate|Loyal|Sensitive,15-16 years,8,14,36,43,"The Tibetan Terrier is not actually a terrier but a herding breed considered a good luck charm in Tibet. Known for its large, flat snowshoe-like feet.",96
japanese-chin,Japanese Chin,Japan,Toy,Small,Charming|Noble|Loving,10-12 years,2,7,20,27,The Japanese Chin is an elegant toy breed with a distinctive aristocratic bearing. A charming companion that has been prized by Japanese royalty for centuries.,104
japanese-spitz,Japanese Spitz,Japan,Foundation Stock Service,Small,Loyal|Playful|Alert,12-14 years,5,10,30,38,"The Japanese Spitz is a small companion dog with a pure white fluffy coat. Developed in Japan in the 1920s as a cheerful, loyal family dog.",
kai-ken,Kai Ken,Japan,Foundation Stock Service,Medium,Alert|Brave|Loyal,12-15 years,11,25,43,56,"The Kai Ken is a rare Japanese breed with a distinctive brindle coat. A natural hunter from the mountainous Kai province, prized for its devotion.",
kishu-ken,Kishu Ken,Japan,Foundation Stock Service,Medium,Docile|Faithful|Noble,12-15 years,14,27,43,55,"The Kishu Ken is an ancient Japanese spitz breed from the Kishu region. A quiet, calm, and one-person hunting dog designated a national treasure in Japan.",
hokkaido,Hokkaido,Japan,Foundation Stock Service,Medium,Brave|Alert|Devoted,12-15 years,20,30,46,52,"The Hokkaido is a medium-sized Japanese breed brought to Hokkaido by the Ainu people. Known for withstanding cold and heavy snowfall, and for its fierce loyalty.",
tosa-inu,Tosa Inu,Japan,Foundation Stock Service,Giant,Patient|Courageous|Composed,10-12 years,36,90,55,82,"The Tosa Inu is a large Japanese breed originally bred as a fighting dog. The sumo wrestler of the dog world, known for its calm and patient demeanor.",
jindo,Jindo,South Korea,Foundation Stock Service,Medium,Bold|Faithful|Brave,14-15 years,15,23,46,55,"The Jindo is a spitz-type dog from Jindo Island, South Korea. Known for extraordinary loyalty and homing instinct, it is South Korea's national treasure.",
sapsali,Sapsali,South Korea,Foundation Stock Service,Medium,Loyal|Gentle|Playful,10-12 years,16,28,49,55,"The Sapsali is a shaggy Korean breed once believed to dispel ghosts and evil spirits. Nearly extinct after the Japanese occupation, now a Korean national treasure.",
indian-pariah-dog,Indian Pariah Dog,India,Foundation Stock Service,Medium,Alert|Intelligent|Social,13-16 years,15,25,46,64,"The Indian Pariah Dog is one of the oldest and most primitive dog breeds on earth. A naturally evolved landrace, extremely healthy and well-adapted to Indian climate.",
mudhol-hound,Mudhol Hound,India,Foundation Stock Service,Large,Loyal|Elegant|Courageous,10-14 years,20,30,56,71,"The Mudhol Hound is a sighthound breed from the Deccan Plateau region of India. A graceful, swift hunter used by Indian royalty for centuries.",
rajapalayam,Rajapalayam,India,Foundation Stock Service,Large,Loyal|Devoted|Courageous,9-12 years,20,30,56,65,"The Rajapalayam is a large Indian sighthound from Tamil Nadu, known for its pure white coat and pink nose. Once used as a companion in boar hunting and as a guard dog.",
kanni,Kanni,India,Foundation Stock Service,Large,Loyal|Agile|Graceful,12-16 years,16,22,56,66,"The Kanni is a rare South Indian sighthound traditionally given as a wedding gift. Its name means maiden in Tamil, symbolizing purity and faithfulness.",
afghan-shepherd,Afghan Shepherd,Afghanistan,Foundation Stock Service,Giant,Protective|Loyal|Alert,10-12 years,35,60,66,82,"The Afghan Shepherd, or Kuchi Dog, is a large livestock guardian breed used by the Kuchi nomads of Afghanistan. A powerful and territorial protector.",
kangal,Kangal,Turkey,Foundation Stock Service,Giant,Protective|Calm|Controlled,12-15 years,41,66,65,77,"The Kangal is Turkey's national dog, a powerful livestock guardian with the strongest bite force of any domestic dog breed. Calm and protective.",
catalburun,Catalburun,Turkey,Foundation Stock Service,Large,Gentle|Loyal|Alert,10-13 years,15,25,43,58,The Catalburun is one of only three dog breeds in the world with a split nose. An extremely rare Turkish pointer known for exceptional scenting ability.,
telomian,Telomian,Malaysia,Foundation Stock Service,Small,Alert|Intelligent|Active,12-14 years,8,13,38,46,The Telomian is the only Malaysian dog breed known to the Western world. A primitive breed originally kept by the Orang Asli people to control vermin.,
philippine-askal,Askal,Philippines,Foundation Stock Service,Medium,Intelligent|Adaptable|Loyal,12-16 years,10,22,40,55,"The Askal, or Aspin, is the native dog of the Philippines. A hardy, naturally evolved landrace known for its intelligence and adaptability to tropical climates.",
new-guinea-singing-dog,New Guinea Singing Dog,Papua New Guinea,Foundation Stock Service,Small,Alert|Active|Intelligent,15-18 years,9,14,31,46,"The New Guinea Singing Dog is named for its unique harmonic vocalization. One of the rarest and most primitive canines, closely related to the wild dingo.",
thai-bangkaew-dog,Thai Bangkaew Dog,Thailand,Foundation Stock Service,Medium,Intelligent|Alert|Loyal,12-14 years,15,21,41,55,"The Thai Bangkaew Dog is a spitz-type breed from the Bangkaew village in Thailand. An agile, active companion with a thick double coat.",
boerboel,Boerboel,South Africa,Working,Giant,Confident|Intelligent|Calm,9-11 years,50,80,60,70,"The Boerboel is a large, mastiff-type dog from South Africa developed to guard homesteads. One of the most powerful dog breeds with a calm, stable temperament.",121
africanis,Africanis,South Africa,Foundation Stock Service,Medium,Loyal|Adaptable|Intelligent,10-14 years,18,35,50,62,"The Africanis is a naturally evolved landrace dog from southern Africa with a lean, athletic build. Extremely healthy due to thousands of years of natural selection.",
coton-de-reunion,Coton de Reunion,Reunion,Foundation Stock Service,Small,Friendly|Lively|Intelligent,14-16 years,4,7,24,30,"The Coton de Reunion is a small companion dog from the French island of Reunion in the Indian Ocean. An ancestor of the Coton de Tulear, now extremely rare.",
chinese-chongqing-dog,Chinese Chongqing Dog,China,Foundation Stock Service,Medium,Loyal|Brave|Dignified,15-18 years,15,25,35,50,The Chinese Chongqing Dog is a rare breed from China's Chongqing municipality. Descended from ancient Chinese hunting and guard dogs with over 2000 years of history.,
kunming-wolfdog,Kunming Wolfdog,China,Foundation Stock Service,Large,Intelligent|Trainable|Alert,12-14 years,30,38,60,70,The Kunming Wolfdog is a Chinese breed developed as a military and police working dog. Similar in appearance to the German Shepherd but a distinct breed.,
mudi,Mudi,Hungary,Herding,Medium,Clever|Energetic|Alert,12-14 years,8,13,38,47,"The Mudi is a versatile Hungarian herding breed with a distinctive curly or wavy coat. A rare breed that excels at herding, agility, and search and rescue.",150
croatian-sheepdog,Croatian Sheepdog,Croatia,Foundation Stock Service,Medium,Agile|Alert|Intelligent,12-14 years,13,20,40,53,"The Croatian Sheepdog is an ancient herding breed with a distinctive curly black coat. One of the oldest breeds in the Balkans, dating back to the 7th century.",
tornjak,Tornjak,Bosnia and Herzegovina,Foundation Stock Service,Large,Calm|Protective|Friendly,12-14 years,28,50,58,73,"The Tornjak is a large livestock guardian from Bosnia and Herzegovina, mentioned in historical documents from the 9th century. Calm and friendly with family.",
sarplaninac,Sarplaninac,North Macedonia,Foundation Stock Service,Large,Independent|Protective|Devoted,11-13 years,30,45,56,62,"The Sarplaninac is a large livestock guardian from the Sar Mountains of the Balkans. A calm, devoted protector that bonds deeply with its flock.",
estrela-mountain-dog,Estrela Mountain Dog,Portugal,Foundation Stock Service,Giant,Alert|Keen|Protective,10-14 years,30,50,62,72,"The Estrela Mountain Dog is Portugal's oldest breed, a large guardian from the Serra da Estrela mountains. Known for its loyalty and protective instincts.",
spanish-mastiff,Spanish Mastiff,Spain,Foundation Stock Service,Giant,Affectionate|Determined|Noble,10-12 years,52,100,72,88,"The Spanish Mastiff is a giant livestock guardian from Spain, historically used to protect Merino sheep during transhumance. One of the heaviest dog breeds.",
spanish-water-dog,Spanish Water Dog,Spain,Herding,Medium,Playful|Hardworking|Loyal,12-14 years,14,22,40,50,"The Spanish Water Dog is a versatile working breed from the Iberian Peninsula with a distinctive curly, woolly coat. Excels at herding, retrieving, and water work.",153
portuguese-podengo,Portuguese Podengo,Portugal,Hound,Small,Lively|Alert|Hardy,12-15 years,4,6,20,30,"The Portuguese Podengo Pequeno is a small, primitive sighthound from Portugal. A lively and charming hunter that comes in wire and smooth coat varieties.",154
barbet,Barbet,France,Sporting,Medium,Friendly|Bright|Sweet-Natured,12-14 years,17,28,48,65,"The Barbet is a rare French water dog with a thick, curly, waterproof coat. An archetypical water dog that is the ancestor of many modern breeds.",145
danish-swedish-farmdog,Danish-Swedish Farmdog,Denmark,Foundation Stock Service,Small,Friendly|Lively|Gentle,11-13 years,7,12,32,39,"The Danish-Swedish Farmdog is a compact, lively breed from Scandinavia. Originally a versatile farm dog used for ratting, herding, and as a companion.",
norrbottenspets,Norrbottenspets,Sweden,Foundation Stock Service,Small,Alert|Agile|Fearless,14-17 years,8,15,40,47,"The Norrbottenspets is a small Nordic spitz from northern Sweden. Once thought extinct, it was rediscovered in remote villages and is now used for hunting.",
karelian-bear-dog,Karelian Bear Dog,Finland,Foundation Stock Service,Medium,Brave|Tenacious|Loyal,11-13 years,20,23,49,60,"The Karelian Bear Dog is a Finnish spitz breed used for hunting large game including bears and moose. A fearless, dedicated hunting companion.",
lapponian-herder,Lapponian Herder,Finland,Foundation Stock Service,Medium,Friendly|Calm|Energetic,10-14 years,25,30,46,54,"The Lapponian Herder is a medium-sized Finnish reindeer herding dog from Lapland. A calmer, more obedient alternative to the Finnish Lapphund.",
russian-toy,Russian Toy,Russia,Toy,Small,Cheerful|Active|Intelligent,12-14 years,1,3,20,28,"The Russian Toy is one of the smallest dog breeds in the world. Developed in Russia, it comes in smooth and long-haired varieties with distinctive feathered ears.",148
black-russian-terrier,Black Russian Terrier,Russia,Working,Large,Intelligent|Calm|Powerful,10-12 years,36,68,66,77,"The Black Russian Terrier was developed by Soviet military scientists as a guard dog. Despite its name, it is not a true terrier but a powerful working breed.",116
south-russian-ovcharka,South Russian Ovcharka,Ukraine,Foundation Stock Service,Giant,Fierce|Alert|Dominant,9-11 years,48,50,62,66,"The South Russian Ovcharka is a large livestock guardian from the Ukrainian steppe. Despite its fluffy white appearance, it is a fierce and territorial protector.",
stabyhoun,Stabyhoun,Netherlands,Foundation Stock Service,Medium,Gentle|Patient|Willing,13-15 years,18,25,48,53,"The Stabyhoun is one of the rarest dog breeds in the world, originating from the Friesland province of the Netherlands. A gentle and versatile all-around farm dog.",
kooikerhondje,Nederlandse Kooikerhondje,Netherlands,Sporting,Small,Friendly|Alert|Quick,12-15 years,9,11,35,40,The Nederlandse Kooikerhondje is a small Dutch sporting breed that lured ducks into traps called koois. Known for its distinctive orange-red and white coat.,156
perro-de-presa-canario,Perro de Presa Canario,Spain,Foundation Stock Service,Giant,Confident|Calm|Strong-Willed,9-11 years,38,59,56,66,"The Perro de Presa Canario is a mastiff-type dog from the Canary Islands. Originally bred for working livestock, it is a powerful and confident guardian.",
bolognese,Bolognese,Italy,Foundation Stock Service,Small,Playful|Devoted|Easy-Going,12-14 years,3,4,25,31,"The Bolognese is a small, white, fluffy companion breed from Bologna, Italy. A devoted lap dog cherished by Italian nobility since the Renaissance.",
volpino-italiano,Volpino Italiano,Italy,Foundation Stock Service,Small,Lively|Affectionate|Playful,14-16 years,4,5,25,30,"The Volpino Italiano is a small Italian spitz breed adored by Italian royalty and Renaissance artists. Nearly extinct in the 1960s, now slowly recovering.",
maremma-sheepdog,Maremma Sheepdog,Italy,Foundation Stock Service,Giant,Loyal|Brave|Determined,11-13 years,30,45,60,73,"The Maremma Sheepdog is an Italian livestock guardian from the Maremma region of Tuscany. A noble, independent protector used to guard sheep for centuries.",
polish-lowland-sheepdog,Polish Lowland Sheepdog,Poland,Herding,Medium,Confident|Clever|Adaptable,12-14 years,14,23,42,51,"The Polish Lowland Sheepdog is a shaggy, medium-sized herding dog from Poland. Known for its excellent memory and self-assured, sometimes willful personality.",165
tatra-shepherd-dog,Tatra Shepherd Dog,Poland,Foundation Stock Service,Giant,Calm|Intelligent|Protective,10-12 years,36,59,60,70,"The Tatra Shepherd Dog is a large, white livestock guardian from the Tatra Mountains of Poland. A calm, composed dog with strong protective instincts.",
czechoslovakian-vlcak,Czechoslovakian Vlcak,Czech Republic,Foundation Stock Service,Large,Active|Quick|Fearless,12-16 years,20,36,58,65,The Czechoslovakian Vlcak is a wolfdog breed created by crossing German Shepherds with Carpathian wolves in a 1955 military experiment. Versatile and wolf-like in appearance.,
german-spitz,German Spitz,Germany,Non-Sporting,Small,Devoted|Lively|Attentive,13-15 years,5,16,23,41,"The German Spitz is a classic Northern breed and ancestor of many modern spitz-type dogs. A devoted, lively companion with a beautiful plume tail.",
eurasier,Eurasier,Germany,Foundation Stock Service,Medium,Calm|Confident|Reserved,12-16 years,18,32,48,60,"The Eurasier is a German spitz-type breed created by crossing Chow Chow, Wolfspitz, and Samoyed. A balanced, calm family dog that bonds closely with its owner.",
american-eskimo-dog,American Eskimo Dog,United States,Non-Sporting,Small,Playful|Perky|Smart,13-15 years,3,16,23,48,"The American Eskimo Dog is a beautiful white spitz breed that comes in three sizes. Despite its name, it was developed from German Spitz stock in the United States.",122
american-foxhound,American Foxhound,United States,Hound,Large,Independent|Easy-Going|Sweet-Tempered,11-13 years,27,32,53,64,"The American Foxhound is one of the rarest AKC breeds, descended from hounds brought by English settlers. George Washington was an avid breeder of the American Foxhound.",186
catahoula-leopard-dog,Catahoula Leopard Dog,United States,Foundation Stock Service,Large,Loyal|Independent|Watchful,10-14 years,18,43,51,66,"The Catahoula Leopard Dog is the state dog of Louisiana, named after Catahoula Parish. Known for its striking merle coat, glass eyes, and webbed feet.",
boykin-spaniel,Boykin Spaniel,United States,Sporting,Medium,Friendly|Eager|Lovable,10-15 years,11,18,36,46,"The Boykin Spaniel is the state dog of South Carolina, developed for hunting wild turkeys and ducks from a boat. A versatile, energetic sporting breed.",77
plott-hound,Plott Hound,United States,Hound,Large,Loyal|Alert|Intelligent,12-14 years,18,27,51,64,"The Plott Hound is the state dog of North Carolina, the only coonhound that does not trace its ancestry to the English Foxhound. A tenacious big-game hunter.",171
rat-terrier,Rat Terrier,United States,Terrier,Small,Friendly|Lovable|Inquisitive,12-18 years,4,11,25,46,"The Rat Terrier is a multipurpose farm dog named by Teddy Roosevelt. An American breed that excels at ratting and is a friendly, feisty companion.",88
redbone-coonhound,Redbone Coonhound,United States,Hound,Large,Even-Tempered|Amiable|Eager to Please,12-15 years,20,32,53,69,"The Redbone Coonhound is a handsome, flashy red American hound known for its versatility and pleading expression. Featured in the novel Where the Red Fern Grows.",142
treeing-walker-coonhound,Treeing Walker Coonhound,United States,Hound,Large,Smart|Brave|Sensible,12-13 years,20,32,51,69,The Treeing Walker Coonhound is a tricolored American hound descended from the English Foxhound. One of the most popular coonhound breeds for competitive hunting.,137
blue-lacy,Blue Lacy,United States,Foundation Stock Service,Medium,Active|Intelligent|Determined,12-16 years,11,25,43,53,"The Blue Lacy is the state dog of Texas, bred by the Lacy brothers in the mid-19th century. A versatile working dog used for herding, hunting, and ranching.",
alaskan-klee-kai,Alaskan Klee Kai,United States,Foundation Stock Service,Small,Loyal|Intelligent|Vigilant,13-16 years,3,10,33,43,"The Alaskan Klee Kai is a spitz-type breed developed in the 1970s as a companion-sized version of the Alaskan Husky. Small, energetic, and striking.",
chinook,Chinook,United States,Working,Large,Smart|Patient|Devoted,12-15 years,25,41,56,66,"The Chinook is the official state dog of New Hampshire, developed as a sled and draft dog. One of the rarest breeds, known for its gentle and willing temperament.",190
canaan-dog-2,Israeli Canaan Dog,Israel,Herding,Medium,Confident|Alert|Vigilant,12-15 years,18,25,48,61,"The Canaan Dog is the national breed of Israel, a pariah dog that survived in the Negev Desert. Redomesticated in the 1930s for guard and messenger duties.",179
bedlington-terrier,Bedlington Terrier,United Kingdom,Terrier,Small,Loyal|Charming|Frollicking,11-16 years,8,10,38,44,"The Bedlington Terrier resembles a lamb with its distinctive pear-shaped head and curly coat. A graceful, versatile terrier originally bred for hunting in mines.",141
irish-water-spaniel,Irish Water Spaniel,Ireland,Sporting,Large,Playful|Hardworking|Brave,12-13 years,20,30,53,61,"The Irish Water Spaniel is the tallest of the spaniels, distinguished by its curly liver-colored coat and distinctive rat tail. An energetic and clownish water retriever.",162
field-spaniel,Field Spaniel,United Kingdom,Sporting,Medium,Fun-Loving|Sensitive|Docile,12-13 years,16,23,43,46,"The Field Spaniel is a medium-sized, well-balanced sporting dog. Once nearly extinct, this gentle breed has been carefully restored by devoted breeders.",149
clumber-spaniel,Clumber Spaniel,United Kingdom,Sporting,Medium,Gentle|Amusing|Loyal,10-12 years,25,39,43,51,"The Clumber Spaniel is the largest of the spaniel breeds, a dignified sporting dog favored by British royalty. Calm and devoted but with a mischievous streak.",143
sussex-spaniel,Sussex Spaniel,United Kingdom,Sporting,Medium,Friendly|Cheerful|Even-Tempered,13-15 years,16,20,33,38,"The Sussex Spaniel is a rare, low-set sporting breed from Sussex, England. The only spaniel to bay while working, with a distinctive rich golden-liver coat.",180
gordon-setter,Gordon Setter,United Kingdom,Sporting,Large,Affectionate|Confident|Bold,12-13 years,20,36,58,69,"The Gordon Setter is the heaviest and most powerful of the setter breeds, with a distinctive black and tan coat. A loyal, devoted sporting companion from Scotland.",115
english-setter,English Setter,United Kingdom,Sporting,Large,Friendly|Merry|Mellow,12 years,20,36,58,69,"The English Setter is an elegant, graceful gundog known for its beautiful speckled coat called belton. One of the oldest gundog breeds, mellow and gentle.",102
cesky-terrier,Cesky Terrier,Czech Republic,Terrier,Small,Clever|Adventurous|Family-Oriented,12-15 years,6,10,25,32,"The Cesky Terrier is a rare, silky-coated terrier created in Czechoslovakia by crossing Scottish and Sealyham Terriers. One of the world's rarest breeds.",185
glen-of-imaal-terrier,Glen of Imaal Terrier,Ireland,Terrier,Small,Gentle|Spirited|Bold,10-15 years,14,18,30,36,"The Glen of Imaal Terrier is a sturdy, low-slung Irish terrier from the Glen of Imaal in County Wicklow. A tough, spirited dog with a gentle disposition.",174
dandie-dinmont-terrier,Dandie Dinmont Terrier,United Kingdom,Terrier,Small,Independent|Smart|Proud,12-15 years,8,11,20,28,The Dandie Dinmont Terrier is a uniquely shaped terrier named after a character in a Sir Walter Scott novel. One of the most endangered native British breeds.,176
sealyham-terrier,Sealyham Terrier,United Kingdom,Terrier,Small,Outgoing|Sense of Humor|Calm,12-14 years,10,11,27,31,"The Sealyham Terrier is a rare Welsh terrier once the most popular terrier breed. A sturdy, outgoing, and adaptable companion with a wry sense of humor.",164
skye-terrier,Skye Terrier,United Kingdom,Terrier,Medium,Courageous|Good-Tempered|Loyal,12-14 years,16,18,24,26,"The Skye Terrier is a distinctive breed from the Isle of Skye with a long, flowing coat. One of the most endangered native British breeds, known for its unwavering loyalty.",178
lakeland-terrier,Lakeland Terrier,United Kingdom,Terrier,Small,Bold|Friendly|Confident,12-15 years,7,8,34,37,"The Lakeland Terrier is a sturdy, workmanlike terrier from the Lake District of England. Bred to hunt foxes that preyed on sheep in the rugged fells.",147
manchester-terrier,Manchester Terrier,United Kingdom,Terrier,Small,Spirited|Bright|Athletic,15-17 years,5,10,38,42,"The Manchester Terrier is a sleek, spirited rat-catching terrier from Manchester, England. The oldest identifiable terrier breed, elegant and athletic.",133
petit-basset-griffon-vendeen-2,Grand Basset Griffon Vendeen,France,Hound,Medium,Independent|Happy|Outgoing,13-15 years,18,20,39,44,The Grand Basset Griffon Vendeen is a French hound breed with a rough coat and long ears. Bred for hunting hare in the Vendee region of western France.,167
otterhound,Otterhound,United Kingdom,Hound,Large,Amiable|Boisterous|Even-Tempered,10-13 years,36,54,61,69,"The Otterhound is one of the most endangered dog breeds with fewer than 800 worldwide. A large, rough-coated British hound originally bred to hunt otters.",189
harrier,Harrier,United Kingdom,Hound,Medium,Friendly|Outgoing|People-Oriented,12-15 years,20,27,48,53,"The Harrier is a medium-sized English pack hound used for hunting hares. Resembles a smaller version of the English Foxhound with a sweet, friendly nature.",188
bergamasco-sheepdog,Bergamasco Sheepdog,Italy,Herding,Large,Independent|Sociable|Intelligent,13-15 years,26,38,54,62,The Bergamasco Sheepdog has a unique coat composed of three types of hair that form felt-like mats or flocks. An ancient Italian herding breed from the Alps.,187
canaan-dog-3,Canaan Dog,Israel,Herding,Medium,Confident|Alert|Vigilant,12-15 years,18,25,48,61,"The Canaan Dog is a primitive, hardy breed from the Middle East. Alert and territorial, it serves as Israel's national dog breed.",179
